138,Segovia ,53.26,Segovia ,Flag of Castile and León.svg Castilla y León,40.9429032,-4.108806899999999
139,Huesca ,52.555,Huesca ,Flag of Aragon.svg Aragón,42.131845,-0.4078058
140,Utrera ,52.437,Sevilla ,Flag of Andalucía.svg Andalucía,37.1848134,-5.7795147
141,Siero ,52.38,Principado de Asturias ,Flag of Asturias.svg Asturias,43.3915032,-5.6608158
142,Mollet del Vallés ,51.719,Barcelona ,Flag of Catalonia.svg Cataluña,41.542551,2.2113698
143,Villarreal ,50.755,Castellón ,Flag of the Valencian Community (2x3).svg Comunidad Valenciana,39.9397706,-0.1005932
144,Puertollano ,50.608,Ciudad Real ,Flag of Castile-La Mancha.svg Castilla-La Mancha,38.6884458,-4.1078877
145,Calviá ,50.363,Islas Baleares ,Flag of the Balearic Islands.svg Islas Baleares,39.5626346,2.5197932
146,Ibiza ,49.693,Islas Baleares ,Flag of the Balearic Islands.svg Islas Baleares,38.9067339,1.4205983
147,Boadilla del Monte ,47.852,Comunidad de Madrid ,Flag of the Community of Madrid.svg Comunidad de Madrid,40.4122794,-3.8887699
148,Pinto ,47.594,Comunidad de Madrid ,Flag of the Community of Madrid.svg Comunidad de Madrid,40.2375052,-3.6967718
149,Colmenar Viejo ,47.445,Comunidad de Madrid ,Flag of the Community of Madrid.svg Comunidad de Madrid,40.6626481,-3.7710457
150,Portugalete ,47.117,Vizcaya ,Flag of the Basque Country.svg País Vasco,43.3182479,-3.0211969
151,Adeje ,46.667,S. C. de Tenerife ,Flag of the Canary Islands (simple).svg Canarias,28.1220604,-16.7338211
152,Santurce ,46.651,Vizcaya ,Flag of the Basque Country.svg País Vasco,43.328128,-3.0336586
153,Gavá ,46.326,Barcelona ,Flag of Catalonia.svg Cataluña,41.2987914,1.9930466
154,Esplugas de Llobregat ,46.133,Barcelona ,Flag of Catalonia.svg Cataluña,41.3772561,2.0910377
155,Figueras ,45.444,Gerona ,Flag of Catalonia.svg Cataluña,42.26550659999999,2.9581046
156,Alcira ,44.518,Valencia ,Flag of the Valencian Community (2x3).svg Comunidad Valenciana,39.1511854,-0.4333643
157,Denia ,44.455,Alicante ,Flag of the Valencian Community (2x3).svg Comunidad Valenciana,38.8387992,0.1050557
158,Mislata ,43.8,Valencia ,Flag of the Valencian Community (2x3).svg Comunidad Valenciana,39.4766346,-0.4184093
159,San Feliú de Llobregat ,43.671,Barcelona ,Flag of Catalonia.svg Cataluña,41.3979911,2.0518154
160,Langreo ,43.647,Principado de Asturias ,Flag of Asturias.svg Asturias,43.3081128,-5.6960562
161,Mairena del Aljarafe ,42.784,Sevilla ,Flag of Andalucía.svg Andalucía,37.350923,-6.0520363
162,Lucena ,42.592,Córdoba ,Flag of Andalucía.svg Andalucía,37.4129332,-4.4961008
163,Granadilla de Abona ,42.545,S. C. de Tenerife ,Flag of the Canary Islands (simple).svg Canarias,28.1222699,-16.5768911
164,Mieres ,42.421,Principado de Asturias ,Flag of Asturias.svg Asturias,43.24971900000001,-5.778528199999999
165,Basauri ,41.971,Vizcaya ,Flag of the Basque Country.svg País Vasco,43.2353175,-2.8912652
166,Antequera ,41.827,Málaga ,Flag of Andalucía.svg Andalucía,37.020001,-4.5593676
