Fontenay-aux-Roses,22378
Orly,22377
Le Creusot,22308
Oyonnax,22258
La Madeleine,22243
Millau,22205
Combs-la-Ville,22086
Fontaine,22066
Deuil-la-Barre,22031
Coudekerque-Branche,22015
Auch,21962
Lanester,21874
Beaune,21838
Montigny-lès-Metz,21831
Eysines,21762
Hazebrouck,21737
Longjumeau,21657
Sainte-Foy-lès-Lyon,21646
Forbach,21596
Sarreguemines,21572
Mons-en-Baroeul,21513
La Valette-du-Var,21463
Hérouville-Saint-Clair,21393
Morsang-sur-Orge,21377
Grande-Synthe,21364
Allauch,21276
La Celle-Saint-Cloud,21264
Lisieux,21132
Croix,21114
Tassin-la-Demi-Lune,21102
Dammarie-les-Lys,21094
Vélizy-Villacoublay,20997
Wasquehal,20990
Saint-Gratien,20933
Halluin,20915
Neuilly-Plaisance,20840
Montmorency,20796
Dax,20776
Lormont,20770
Lagny-sur-Marne,20718
Le Mée-sur-Seine,20713
Saint-Genis-Laval,20696
Fleury-les-Aubrais,20677
Loos,20650
Gif-sur-Yvette,20631
Denain,20549
Villeneuve-le-Roi,20481
Saint-Dié-des-Vosges,20471
Olivet,20458
Montigny-lès-Cormeilles,20307
Gujan-Mestras,20294
Mantes-la-Ville,20251
Fougères,20170
Annecy-le-Vieux,20166
Couëron,20084
Saint-Michel-sur-Orge,20057
Les Pennes-Mirabeau,20018
Voiron,19988
Achères,19985
Ozoir-la-Ferrière,19917
Saint-Louis,19907
Gardanne,19844
Arcueil,19746
Sceaux,19718
Chaville,19717
Bourg-la-Reine,19712
Lannion,19627
Seynod,19624
Cahors,19616
Givors,19574
Saint-Jean-de-Braye,19571
Lunéville,19516
Chilly-Mazarin,19502
Challans,19501
Pertuis,19498
Moulins,19474
Fécamp,19381
Bourg-lès-Valence,19351
Sélestat,19332
Cournon-d'Auvergne,19287
Saint-Lô,19285
Mitry-Mory,19267
Mont-Saint-Aignan,19178
Le Plessis-Trévise,19157
Albertville,19071
Vence,19052
Montceau-les-Mines,18969
Bressuire,18962
L'Isle-sur-la-Sorgue,18955
Chevilly-Larue,18894
Concarneau,18867
Maurepas,18827
Nogent-sur-Oise,18753
Hem,18721
Cognac,18705
Riom,18675
Bouguenais,18662
Carquefou,18646
Le Puy-en-Velay,18619
Ronchin,18570
Sorgues,18500
La Chapelle-sur-Erdre,18412
Mougins,18302
Bagnols-sur-Cèze,18218
